word,meaning,mnemonic,image,video,example,synonyms,antonyms,difficulty,category,setIds
brazen,unrestrained by convention or propriety,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Their large ""donations"" to the local police department gave the drug cartel the brazen confidence to do their business out in the open.",,,medium,academic,gre
countermand,a contrary command cancelling or reversing a previous command,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"By the time the colonel countermanded his soldiers not to land in enemy territory, a few helicopters had already touched down amid heavy gunfire.",,,medium,academic,gre
perfidy,an act of deliberate betrayal; a breach of a trust,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Sure he was the best salesman in the company, but Michael had abused the trust of the firm, sharing product secrets with a competitor, and for such perfidy he was terminated.",,,medium,academic,gre
eschew,avoid and stay away from deliberately; stay clear of,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Politicians are the masters of eschewing morals; academics are the masters of eschewing clarity.,,,medium,academic,gre
impecunious,lacking money; poor,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"In extremely trying times, even the moderately wealthy, after a few turns of ill-fortune, can become impecunious.",,,medium,academic,gre
replete,completely stocked or furnished with something,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Only weeks after the hurricane made landfall, the local supermarket shelves were replete with goods, so quick was the disaster relief response.",,,medium,academic,gre
ambivalent,mixed or conflicting emotions about something,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Sam was ambivalent about studying for the exam because doing so ate up a lot of his time, yet he was able to improve his analytical skills.",,,medium,academic,gre
complacent,contented to a fault with oneself or one's actions,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"After the water polo team won their sixth championship, they became complacent and didn't even make it to the playoffs the next year.",,,medium,academic,gre
ambiguous,open to more than one interpretation,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The coach told his team, “Move towards that side of the field”; because he did not point, his directions were ambiguous, and the team had no idea to which side he was referring.",,,medium,academic,gre
magisterial,offensively self-assured or given to exercising unwarranted power,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Though she was only a third grade teacher, Ms. Martinet was magisterial in dealing with her class, lording over them like a queen.",,,medium,academic,gre
austere,practicing self-denial,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,His lifestyle of revelry and luxurious excess could hardly be called austere.,,,medium,academic,gre
obstreperous,noisily and stubbornly defiant; willfully difficult to control,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"When the teacher asked the obstreperous student simply to bus his tray, the student threw the entire tray on the floor, shouted an epithet, and walked out.",,,medium,academic,gre
facile,arrived at without due care or effort; lacking depth,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Many news shows provide facile explanations to complex politics, so I prefer to read the in-depth reporting of The New York Times.",,,medium,academic,gre
idiosyncrasy,a behavioral attribute that is distinctive and peculiar to an individual,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Peggy's numerous idiosyncrasies include wearing mismatched shoes, laughing loudly to herself, and owning a pet aardvark.",,,medium,academic,gre
meticulous,marked by extreme care in treatment of details,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The Japanese noodle maker was meticulous in making his noodles and would never let another person take over the task.,,,medium,academic,gre
arduous,demanding considerable mental effort and skill; testing powers of endurance,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"In order to deal with the arduous cross-country journey, truck drivers often survive on a string of caffeinated drinks, staying awake for up to 30 hours at a time.",,,medium,academic,gre
ferret,to search for something persistently,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Ever the resourceful lexicographer, Fenton was able to ferret out the word origin of highly obscure words.",,,medium,academic,gre
artful,exhibiting artistic skill,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Picasso is generally considered the most artful member of the Cubist movement.,,,medium,academic,gre
tendentious,likely to lean towards a controversial view,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Because political mudslinging has become a staple of the 24-hour media cycle, most of us, despite protestations to the contrary, are tendentious on many of today’s pressing issues.",,,medium,academic,gre
sententious,"to be moralizing, usually in a pompous sense",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The old man, casting his nose up in the air at the group of adolescents, intoned sententiously, “Youth is wasted on the young.”",,,medium,academic,gre
maintain,to assert,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The scientist maintained that the extinction of dinosaurs was most likely brought about by a drastic change in climate.,,,medium,academic,gre
negligible,so small as to be meaningless; insignificant,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The GRE tests cumulative knowledge, so if you cram the night before it is, at best, likely to only have a negligible impact on your score.",,,medium,academic,gre
curmudgeon,"a grouchy, surly person",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Since Uncle Mike was the family curmudgeon, each Thanksgiving he was plied with copious amounts of wine, in the hope that he would become less grouchy.",,,medium,academic,gre
remonstrate,to make objections while pleading,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The mothers of the kidnapped victims remonstrated to the rogue government to release their children, claiming that the detention violated human rights.",,,medium,academic,gre
innocuous,harmless and doesn’t produce any ill effects,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Everyone found Nancy’s banter innocuous—except for Mike, who felt like she was intentionally picking on him.",,,medium,academic,gre
recrimination,mutual accusations,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The two brothers sat and cried, pointing fingers and making elaborate recriminations of the other's guilt",,,medium,academic,gre
infelicitous,inappropriate,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"During the executive meeting, the marketing director continued to make infelicitous comments about the CEO's gambling habit.",,,medium,academic,gre
gumption,resourcefulness and determination,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Wallace Stegner lamented the lack of gumption in the U.S. during the sixties, claiming that no young person knew the value of work.",,,medium,academic,gre
oblique,not straightforward; indirect,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Herbert never explicitly revealed anything negative about Tom's past, but at times he would obliquely suggest that Tom was not as innocent as he seemed.",,,medium,academic,gre
quandary,state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Steve certainly is in a quandary: if he doesn't call Elaine, she will blame him for everything, but if he does call her, the evidence of where he currently is could cost him his job.",,,medium,academic,gre
sedulous,done diligently and carefully,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"An avid numismatist, Harold sedulously amassed a collection of coins from over 100 countries—an endeavor that took over fifteen years, and to five continents.",,,medium,academic,gre
goad,urge on with unpleasant comments,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Doug did not want to enter the race, but Jim, through a steady stream of taunts, goaded him into signing up for it.",,,medium,academic,gre
telling,significant and revealing of another factor,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Her unbecoming dress was very telling when it came to her sense of fashion.,,,medium,academic,gre
preempt,take the place of or have precedence over,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,A governmental warning about an imminent terrorist attack would preempt ordinary network programming on television.,,,medium,academic,gre
genteel,marked by refinement in taste and manners,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,A live string quartet would provide a more genteel air to the wedding than would a folk singer.,,,medium,academic,gre
besiege,"harass, as with questions or requests; cause to feel distressed or worried",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"After discovering a priceless artifact in her backyard, Jane was besieged by phone calls, emails, and reporters all trying to buy, hold or see the rare piece of history.",,,medium,academic,gre
abstruse,difficult to understand; incomprehensible,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Physics textbooks can seem so abstruse to the uninitiated that readers feel as though they are looking at hieroglyphics.,,,medium,academic,gre
staunch,firm and dependable especially in loyalty,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"No longer a staunch supporter of the movement, Todd now will openly question whether its goals are worthwhile.",,,medium,academic,gre
vilify,spread negative information about,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Todd was noble after the divorce, choosing to say only complimentary things about Barbara, but Barbara did not hesitate to vilify Todd.",,,medium,academic,gre
prevaricate,to speak in an evasive way,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The cynic quipped, “There is not much variance in politicians; they all seem to prevaricate”.",,,medium,academic,gre
irresolute,uncertain how to act or proceed,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"He stood irresolute at the split in the trail, not sure which route would lead back to the camp.",,,medium,academic,gre
badger,to pester,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Badgered by his parents to find a job, the 30-year-old loafer instead joined a gang of itinerant musicians.",,,medium,academic,gre
subversive,in opposition to an establish system or institution.,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The ruling political party has begun a campaign to shut down subversive websites that it deems as a threat to ""national safety.""",,,medium,academic,gre
avid,marked by active interest and enthusiasm,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Martin is an avid birdwatcher, often taking long hikes into remote mountains to see some rare eagle.",,,medium,academic,gre
derive,"come from; be connected by a relationship of blood, for example",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Many words in the English language are derived from Latin, including the word ""derive.""",,,medium,academic,gre
haughty,having or showing arrogant superiority to and disdain of those one views as unworthy,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The haughty manager didn't believe that any of his subordinates could ever have an insight as brilliant as his own.,,,medium,academic,gre
apothegm,"a short, pithy instructive saying",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Winston Churchill is famous for many apothegms, but this might be his most famous: ""It has been said that democracy is the worst form of government except all the others that have been tried.""",,,medium,academic,gre
apex,the highest point,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The Ivy League is considered the apex of the secondary education system.,,,medium,academic,gre
decorum,propriety in manners and conduct,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"""You will obey the rules of decorum for this courtroom or spend the night in a jail cell,"" said the judge to the prosecutor.",,,medium,academic,gre
perturb,disturb in mind or cause to be worried or alarmed,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Now that Henry is recovering from a major illnesses, he no longer lets the little trivialities, such as late mail, perturb him.",,,medium,academic,gre
brook,put up with something or somebody unpleasant,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"While she was at the chalkboard, the teacher did not brook any form of talking--even a tiny peep resulted in afternoon detention.",,,medium,academic,gre
haphazard,marked by great carelessness; dependent upon or characterized by chance,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Many golf courses are designed with great care, but the greens on the county golf course seem entirely haphazard.",,,medium,academic,gre
besotted,strongly affectionate towards,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Even though her father did not approve, Juliet became besotted with the young Romeo.",,,medium,academic,gre
anemic,lacking energy and vigor,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"After three straight shows, the lead actress gave an anemic performance the fourth night, barely speaking loudly enough for those in the back rows to hear.",,,medium,academic,gre
sinecure,an office that involves minimal duties,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The position of Research Director is a sinecure: the job entails almost no responsibilities, nor does the person in that position have to answer to anyone.",,,medium,academic,gre
blatant,without any attempt at concealment; completely obvious,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Allen was often punished in school for blatantly disrespecting teachers.,,,medium,academic,gre
pollyannaish,extremely optimistic,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Even in the midst of a lousy sales quarter, Debbie remained Pollyannaish, never losing her shrill voice and wide smile, even when prospective customers hung up on her.",,,medium,academic,gre
antipathy,an intense feeling of dislike or aversion,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Maria had an antipathy for tour groups, often bolting to the other side of the museum as soon as she saw a chaperone leading a group of wide-eyed tourists.",,,medium,academic,gre
derivative,"not original but drawing strongly on something already in existence, especially in reference to a creative product (e.g. music, writing, poetry etc.).",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Because the movies were utterly derivative of other popular movies, they did well at the box office.",,,medium,academic,gre
derelict,(of a person) not doing one's duties,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The teacher was derelict in her duties because she hadn't graded a single student paper in three weeks.,,,medium,academic,gre
bereft,unhappy in love; suffering from unrequited love,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"After 64 years of marriage, William was bereft after the death of his wife.",,,medium,academic,gre
apogee,the highest point,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The apogee of the Viennese style of music, Mozart’s music continues to mesmerize audiences well into the 21st century.",,,medium,academic,gre
bumbling,"lacking physical movement skills, especially with the hands",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Within a week of starting, the bumbling new waiter was unceremoniously fired.",,,medium,academic,gre
petulant,easily irritated or annoyed,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"When Ed first met Ruth, he didn't realize she was so petulant, but now that they are three months into their relationship, Ed feels a day doesn't go by in which she isn't whining about some minor issue.",,,medium,academic,gre
impervious,not admitting of passage or capable of being affected,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,I am not impervious to your insults; they cause me great pain.,,,medium,academic,gre
disparate,two things are fundamentally different,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"With the advent of machines capable of looking inside the brain, fields as disparate as religion and biology have been brought together by scientists trying to understand what happens in the brain when people have a religious experience.",,,medium,academic,gre
trenchant,"characterized by or full of force and vigor; having keenness and forcefulness and penetration in thought, expression, or intellect",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Jill presented a rather superficial treatment of sales in Asia, but her trenchant analysis of sales in Europe inspired a number of insights into how to proceed in that market.",,,medium,academic,gre
amenable,easily persuaded,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Even though she did not like the outdoors, Shirley was generally amenable and so her brother was able to persuade her to go camping.",,,medium,academic,gre
denigrate,charge falsely or with malicious intent; attack the good name and reputation of someone,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Count Rumford denigrated the new theory of heat, demonstrating that it was wholly inadequate to explain the observations.",,,medium,academic,gre
indigenous,originating in a certain area,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The plants and animals indigenous to Australia are notably different from those indigenous to the U.S—one look at a duckbill platypus and you know you’re not dealing with an opossum.,,,medium,academic,gre
banality,a trite or obvious remark,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Herbert regarded the minister's remark as a mere banality until Sharon pointed out profound implications to the seemingly obvious words.,,,medium,academic,gre
thwart,"hinder or prevent (the efforts, plans, or desires) of",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"I wanted to spend a week in New York this autumn, but the high costs of travel and lodging thwarted my plans.",,,medium,academic,gre
placid,not easily irritated,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Doug is normally placid, so we were all shocked to see him yelling at the television when the Mets lost the game.",,,medium,academic,gre
belittle,"lessen the importance, dignity, or reputation of",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"A good teacher will never belittle his students, but will instead empower them.",,,medium,academic,gre
rescind,cancel officially,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The man's driver's license was rescinded after his tenth car accident, which meant he would never be allowed to legally drive again.",,,medium,academic,gre
reticent,reluctant to draw attention to yourself; temperamentally disinclined to talk,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"When asked about her father, Helen lost her outward enthusiasm and became rather reticent.",,,medium,academic,gre
placate,cause to be more favorably inclined; gain the good will of,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,I was able to placate the angry mob of students by promising to bring cookies on Monday.,,,medium,academic,gre
acme,the highest point of achievement,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The new Cessna airplanes will be the acme of comfort, offering reclining seats and ample legroom.",,,medium,academic,gre
laconic,one who says very few words,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"While Martha always swooned over the hunky, laconic types in romantic comedies, her boyfriends inevitably were very talkative—and not very hunky.",,,medium,academic,gre
preclude,keep from happening or arising; make impossible,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The manager specified that all other gates be locked, to preclude the possibility of persons without tickets entering the arena undetected.",,,medium,academic,gre
sybarite,a person who indulges in luxury,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Despite the fact that he’d maxed out fifteen credit cards, Max was still a sybarite at heart: when the police found him, he was at a $1,000 an hour spa in Manhattan, getting a facial treatment.",,,medium,academic,gre
promulgate,state or announce,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The President wanted to promulgate the success of the treaty negotiations, but he had to wait until Congress formally approved the agreement.",,,medium,academic,gre
disaffected,discontented as toward authority,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"After watching his superior take rations from the soldiers, he quickly became disaffected and rebelled.",,,medium,academic,gre
capricious,determined by chance or impulse or whim rather than by necessity or reason,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Nearly every month our capricious CEO had a new plan to turn the company around, and none of them worked because we never gave them the time they needed to succeed.",,,medium,academic,gre
turpitude,depravity; a depraved act,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"During his reign, Caligula indulged in unspeakable sexual practices, so it not surprising that he will forever be remembered for his turpitude.",,,medium,academic,gre
dogmatic,"highly opinionated, not accepting that your belief may not be correct",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Bryan is dogmatic in his belief that the earth is flat, claiming that all pictures of a spherical earth are computer generated.",,,medium,academic,gre
furtive,marked by quiet and caution and secrecy; taking pains to avoid being observed,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"While at work, George and his boss Regina felt the need to be as furtive as possible about their romantic relationship.",,,medium,academic,gre
guileless,free of deceit,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"At first I thought my niece was guileless, but I then found myself buying her ice cream every time we passed a shop.",,,medium,academic,gre
veracious,truthful,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"While we elect our leaders in the hope that every word they speak  will be veracious, history has shown that such a hope is naive.",,,medium,academic,gre
forthright,characterized by directness in manner or speech; without subtlety or evasion,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"I did not expect the insurance agent to give us any straight answers, but I was pleasantly surprised by how forthright he was.",,,medium,academic,gre
obdurate,unable to be persuaded or moved emotionally; stubborn; unyielding.,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,No number of pleas and bribes would get him to change his obdurate attitude.,,,medium,academic,gre
malfeasance,misconduct or wrongdoing (especially by a public official),,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Not even the mayor’s trademark pearly-toothed grin could save him from charges of malfeasance: while in power, he’d been running an illegal gambling rink in the room behind his office.",,,medium,academic,gre
nettlesome,causing irritation or annoyance,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Maria found her coworker's cell phone nettlesome, because every few minutes it would buzz to life with another text message.",,,medium,academic,gre
surfeit,an excessive amount of something,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,There was no such thing as a surfeit of shopping for Nancy--she could stay at the outlet stores from opening to closing time.,,,medium,academic,gre
imbibe,to drink or absorb as if drinking,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Plato imbibed Socrates’ teachings to such an extent that he was able to write volumes of work that he directly attributed, sometimes word for word, to Socrates.",,,medium,academic,gre
treacherous,tending to betray,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Even though Jesse James was an outlaw, his killer, Robert Ford, is remembered more for his treacherous actions than for eliminating a criminal and murder.",,,medium,academic,gre
apotheosis,exaltation to divine status; the highest point of development,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"As difficult as it is to imagine, the apotheosis of Mark Zuckerberg’s career, many believe, is yet to come.",,,medium,academic,gre
exorbitant,greatly exceeding bounds of reason or moderation,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Shelley made one exorbitant purchase after another, buying new clothes and taking vacations even though she earned a limited salary.",,,medium,academic,gre
supplant,take the place or move into the position of,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"For many, a cell phone has supplanted a traditional phone; in fact, most 20-somethings don't even have a traditional phone anymore.",,,medium,academic,gre
deride,treat or speak of with contempt,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The nun derided the students for trying to sneak insects and worms into the classroom.,,,medium,academic,gre
surly,inclined to anger or bad feelings with overtones of menace,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Every morning, Bhavin was a surly unhappy person, but once he ate breakfast, he became loving, laughing, and a joy to be around.",,,medium,academic,gre
ameliorate,make something bad better,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"""Three Cups of Tea"" tells the story of western man who hopes to ameliorate poverty and the lack of education in Afghanistan.",,,medium,academic,gre
reverent,feeling or showing profound respect or veneration,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The professor could speak objectively about the other composers, but he always lectured about Brahms with a particularly reverent air, unable to offer a single criticism of his compositions.",,,medium,academic,gre
telltale,revealing,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The many telltale signs of chronic smoking include yellow teeth, and a persistent, hacking cough.",,,medium,academic,gre
jingoist,a person who thinks that their country should be at war,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"In the days leading up to war, a nation typically breaks up into the two opposing camps: doves, who do their best to avoid war, and jingoists, who are only too eager to wave national flags from their vehicles and vehemently denounce those who do not do the same.",,,medium,academic,gre
cerebral,involving intelligence rather than emotions or instinct,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"A cerebral analysis of most pop music finds it to be simple and childish, but that ignores the point--the music's effect on the listener.",,,medium,academic,gre
vehement,marked by extreme intensity of emotions or convictions,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"While the other employees responded to the bad news in a measured way, Andrew responded in a vehement manner, tipping over his desk and shouting at the top of his lungs.",,,medium,academic,gre
gossamer,characterized by unusual lightness and delicacy,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The gossamer wings of a butterfly, which allow it to fly, are also a curse, so delicate that they are often damaged.",,,medium,academic,gre
bellicose,warlike; inclined to quarrel,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Known for their bellicose ways, the Spartans were once the most feared people from Peloponnesus to Persia.",,,medium,academic,gre
remiss,to be negligent in one’s duty,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Remiss in his duty to keep the school functioning efficiently, the principal was relieved of his position after only three months.",,,medium,academic,gre
extrapolate,draw from specific cases for more general cases,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"By extrapolating from the data on the past three months, we can predict a 5% increase in traffic to our website.",,,medium,academic,gre
thrifty,spending money wisely,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"He was economical, spending his money thriftily and on items considered essential.",,,medium,academic,gre
insolvent,unable to pay one's bills; bankrupt,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"With credit card bills skyrocketing, a shockingly large number of Americans are truly insolvent.",,,medium,academic,gre
slapdash,carelessly and hastily put together,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The office building had been constructed in a slapdash manner, so it did not surprise officials when, during a small earthquake, a large crack emerged on the façade of the building.",,,medium,academic,gre
palaver,speak (about unimportant matters) rapidly and incessantly,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"During the rain delay, many who had come to see the game palavered, probably hoping that idle chatter would make the time go by faster.",,,medium,academic,gre
jingoism,fanatical patriotism,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,North Korea maintains intense control over its population through a combination of jingoism and cult of personality.,,,medium,academic,gre
turgid,(of language) pompous and tedious,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The amount of GRE vocabulary he used increased with his years--by the time he was 60, his novels were so turgid that even his diehard fans refused to read them.",,,medium,academic,gre
meteoric,like a meteor in speed or brilliance or transience,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The early spectacular successes propelled the pitcher to meteoric stardom, but a terribly injury tragically cut short his career.",,,medium,academic,gre
underwrite,to support financially,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The latest symphony broadcast was made possible with underwriting from the Carnegie Endowment.,,,medium,academic,gre
expansive,"communicative, and prone to talking in a sociable manner",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"After a few sips of cognac, the octogenarian shed his irascible demeanor and became expansive, speaking fondly of the “good old days”.",,,medium,academic,gre
dictatorial,expecting unquestioning obedience; characteristic of an absolute ruler,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The coach was dictatorial in his approach: no players could ever argue or question his approach.,,,medium,academic,gre
demure,to be modest and shy,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The portrait of her in a simple white blouse was sweet and demure.,,,medium,academic,gre
expurgate,to remove objectionable material,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The censor expurgated every reference to sex and drugs, converting the rapper's raunchy flow into a series of bleeps.",,,medium,academic,gre
platitude,a trite or obvious remark,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The professor argued that many statements regarded as wise in previous times, such as the Golden Rule, are now regarded as mere platitudes.",,,medium,academic,gre
trite,repeated too often; overfamiliar through overuse,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Many style guides recommend not using idioms in writing because these trite expressions are uninteresting and show a lack of imagination on the part of the writer.,,,medium,academic,gre
ponderous,weighed-down; moving slowly,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Laden with 20 kilograms of college text books, the freshman moved ponderously across the campus.",,,medium,academic,gre
foible,a behavioral attribute that is distinctive and peculiar to an individual,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"When their new roommate sat staring at an oak tree for an hour, Marcia thought it indicated a mental problem, but Jeff assured her it was a harmless foible.",,,medium,academic,gre
paucity,a lack of something,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"There is a paucity of jobs hiring today that require menial skills, since most jobs have either been automated or outsourced.",,,medium,academic,gre
qualify,to make less severe; to limit (a statement),,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Chris qualified his love for San Francisco, adding he didn't like the weather there as much as he liked the weather in Los Angeles.",,,medium,academic,gre
base,"the lowest, without any moral principles",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,She was not so base as to begrudge the beggar the unwanted crumbs from her dinner plate.,,,medium,academic,gre
provident,careful in regard to your own interests; providing carefully for the future,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"In a move that hardly could be described as provident, Bert spend his entire savings on a luxurious cruise, knowing that other bills would come due a couple months later.",,,medium,academic,gre
